text,label
Police Nab Accused in 4-Year-Old Kidnap Case,1
Five security personnel have been suspended by the Delhi Police after an FIR was registered against them for allegedly assaulting and molesting a woman in the national capital.,0
How to ensure women's safety in public places?,0
Female entrepreneur Sherry Coutu shares her advice on how other women can succeed in business.,0
"Iran's Supreme Leader Ayatollah Ali Khamenei has said the country's recent earthquakes were a ""gift from God"" to test people's faith, despite widespread criticism over the government's response.",0
"Ramsey, the 35-year-old daughter of President Donald Trump, was involved in a brawl at the Miami nightclub LIV on Wednesday night, according to multiple reports.",0
"A Mumbai court on Friday convicted a senior journalist, who had once worked with NDTV, for stalking and harassing a woman journalist and sentenced him to three years in jail.",1
The police have arrested a 19-year-old man in connection with the rape and murder of a 17-year-old girl in Karnataka's Shivamogga district.,0
"Vancouver, Canada",0
"With the increasing number of incidents of sexual and physical assaults on women in Delhi, the Delhi Police has launched a helpline number 1091 for women in distress. The helpline number is open 24 hours a day and is staffed by female officers who are trained to handle all kinds",0
Mumbai: 200 women to get bicycles to ride safely on roads,1
The Supreme Court on Wednesday reserved its verdict on a plea challenging the Delhi High Court order imposing a ban on the Indian Council of Medical Research's (ICMR) sero-survey which showed that nearly one in every four Indians had been infected with Covid-19.,0
The recent rise in women's safety concerns has led to a surge in demand for self-defense products. Many women are now turning to personal alarms as a way to feel safer and more secure when out and about.,0
Pakistan will host the SAARC Women in Politics conference in Islamabad on Friday.,1
A 43-year-old woman was allegedly stabbed to death by her husband in Chirang district of Assam.,0
"""The Government of India has launched a new initiative called ""Saheli"". Saheli is a platform that connects women and girls to resources and information that can help them stay safe. The platform includes a helpline, a website, and an app.",0
"India will host the first 4-day Test in more than 13 years when they take on New Zealand in Kanpur from March 12. It will be the first four-day Test since Pakistan and Australia's match in Adelaide in 2009, which the hosts won",1
"Great news! A mom and daughter duo who came up with a safety app for women have received a $100,000 award from The Women's Fund of Western Massachusetts.",1
"Our website offers a wide range of women's safety products, including personal alarms, pepper sprays, and self-defense keychains. Shop now to ensure your safety and peace of mind.",0
"A student from Chitwan, who was allegedly gang-raped while on her way back to her hostel from a coaching institute at the Chandragiri Municipality-6, has lodged a complaint with the police against three of her friends.",1
"Another tweet that is making rounds, this time with a video clip. A man is seen demanding a woman to get down from the bus. A passenger intervenes to stop the man. ""I have seen this happen to me as well. I wish I had someone to stand up for me,"" she says.",1
"Govt orders judicial probe into rape, murder of 26-year-old woman in Bengaluru",1
"The National Crime Records Bureau (NCRB) released a report that says that the number of crimes against women has increased by 4.1% in 2020. According to the report, there were 3.6 lakh incidents of crime against women, which was an increase of 4.",1
"KOCHI: A 20-year-old woman, who was working as an assistant at a beauty parlour, was allegedly raped by a man in Kochi city on Saturday night.",1
13th July 2022 : 27-year-old model-turned-actor Marie Avgeropoulos was robbed at gunpoint during a walk in Los Angeles.,0
University of Texas at Austin researchers have found a way to make the most common types of firearms 3D-printed using guns that can be downloaded for free online.,0
'Female Footballer Allegedly Raped by Team-mate in India',1
"The government of India has launched a new campaign called 'Beti Bachao, Beti Padhao' to promote the education of girls and to reduce the practice of female foeticide. The campaign aims to improve the status of women in society and to create a more equal society.",1
"KARACHI: In a shocking incident, a woman aged 24 was allegedly raped by her employer\'s son in Gulistan-i-Johar, Karachi, police said on Sunday.",1
"The 2023 season of the Women's Big Bash League (WBBL) is a domestic Twenty20 cricket competition in Australia. It is the ninth season of the WBBL, which is played between women's cricket teams representing Australian cities and regions. The season began on",1
'Bengaluru: A 27-year-old woman was allegedly raped by a man she met on a dating app in Bengaluru.,0
A Survivor Speaks Out: My experience with sexual harassment in the workplace,1
Iran has reportedly executed an Iranian woman for murdering her husband.,1
"""Women's Safety Bill, 2010: A Step Towards A Safer India""",0
"[{\""title\"":\""Women safety: Why the recent spate of crimes against women in Delhi is a serious concern\"",\""link\"":\""https://timesofindia.indiatimes.com/blogs/voices/women-safety-why-the-recent-sp",0
WOMEN SAFETY TRAINING INITIATIVE LAUNCHED BY THE NATIONAL COMMISSION FOR WOMEN,1
Women's Safety App - A Comprehensive Guide for Indians,1
New York City to Require Bike Lanes for Women's Safety,1
"The city of Houston has launched a new initiative to promote women's safety in public spaces. The program, called ""Safe City,"" aims to provide women with practical advice and resources to help them stay safe while they are out in public.",1
"A new study has found that women and minorities are more likely to be victims of hate crimes in the United States. The study, which was published in the journal ""Social Problems,"" looked at data from the Bureau of Justice Statistics and found that women and minorities were more likely to be victims of hate",0
New Delhi: The Supreme Court on Friday questioned the Centre's decision to waive the 30-year bar for prosecution in cases of rape that took place before 2013.,1
Kerala: Women's protest over safety in educational institutions turn violent,1
North Korean leader Kim Jong-Un trolled the US with a laughing emoji on Twitter as it took to the social media platform to confirm that his country was behind the hacking of Sony Pictures.,1
Women and Girls Safety: A Comprehensive Approach,1
"Someone needs to sit down and talk to these guys, they're going to get sued for something.",1
"The victory of the Indian Women's team in the Asian Cup is a major boost for the sport in the country. The team played aggressively and managed to win the tournament. The Indian players exhibited great skill and determination, which impressed the whole nation. The victory of the Indian team is a major achievement for the",1
"A 13-year-old girl from Hyderabad was kidnapped and sexually assaulted by a 35-year-old waiter. The incident occurred on December 15, when the minor girl went to a restaurant in Kukatpally with her friends. The waiter,",0
'Congratulations to the winners of the 2018 #WomenInSafety Awards!  Remember to share your story with us today.',0
"'We should be able to walk, travel, and live without fear,' says the activist group WOW.'",1
"When it comes to the safety of women in India, there are many issues that need to be addressed. One of the biggest concerns is that of violence against women. This is a problem that affects women of all ages and socio-economic backgrounds. There are a number of reasons why this is the case.",0
[**Review by carolynhope**](https://www.tripadvisor.com/ShowUserReviews-g147793-d923167-r275628450-Whitney_Point_Marina_Cam,1
"'Electronic music fans are being urged to be aware of their surroundings and to travel in groups at the European festival, which has been hit by a spate of sexual assaults.",1
[WARNING: This story contains graphic images and may be difficult for some readers.],1
"Jun 20, 2023, 8:45 PM · 4 min read",0
Vitamin D levels in women affected by Covid-19,0
Shocking: Woman stabbed to death by boyfriend in Pakistan,0
[**Nigerian Army**](https://www.army.mil.ng/nigerian-army/) Recruits 76 Regular Cadets Into Ordinance Corps,1
"The latest TikTok video has gone viral, and it's all about the ""rakish"" look. The video, which shows a woman putting on a black hat and walking around outside, has been viewed over 100,000 times. The trend has been criticized for being",0
"A meeting will be held on Friday, April 24, at 7:00 p.m. to discuss the safety of women in the city.",0
"Tamil Nadu: Women's safety is the government's top priority, says CM",1
A new study has revealed that women who have abortions are at a higher risk of being sexually assaulted in the future.,1
"Nigeria: Nigerian soldiers killed, 21 abducted in Kaduna community clash",1
"[Steve Bannon, former chief strategist of Donald Trump, on Thursday announced a new venture to take on the political establishment in the 2022 midterms.](/news/steve-bannon-announces-new-political-organization-to-take-on",0
[**[Title]**],1
A California Girl's Guide to Surviving a Winter in New England,0
Happy Mother's Day!,0
Daily News:,0
U.S. Department of State,0
French police have arrested a man suspected of stabbing two women in Paris on Thursday.,1
"As the world marks International Women&#039;s Day, an online platform has been launched to help victims of gender-based violence in Nigeria access justice.",1
Sports minister Kiren Rijiju hails Indian women's hockey team's showing at FIH Pro League,1
"The weather was not good, so we had to cancel last night's concert. We'll see you tomorrow!",0
"Around 30,000 women are killed each year in India due to domestic violence. The most common form of violence against women is domestic violence. In 2019, the National Crime Records Bureau recorded 31,514 murders of women due to domestic violence.",1
Olympic champion Pierre-Ambroise Bosse has been suspended for 12 months after testing positive for a banned substance.,0
Should Women Get Higher Salaries In Their 30s?,1
Woman Safety Tips: Staying Safe While Walking Alone at Night,0
Hindi Movie Review: Laxmmi Bomb is a Worthy Tribute to the Laughter Riot that is Muni,0
Child marriage: A threat to women's safety,1
Womenâ€™s Safety Apps - A Must-Have for Every Woman,1
\n\n[https://www.dailymail.co.uk/news/article-11558433/amp/Woman-949-pounds-spent-15-years-walking-ability-fixed.html](https://www,0
Nigerian women call for better protection against rape after 'hundreds' of attacks in 2022,0
"Foreigners love the City of Saints, but they are not safe here, women are being raped and assaulted everyday, this city has become a playground for predators, government is sleeping & women are dying.",0
"Following the recent case of a woman being harassed when she was going for a jog in the park, the local government has announced that it will be installing security cameras in all public parks in the city. This is a welcome move, as it will help ensure the safety of women who use the parks for exercise",1
"Women and Children Safety and Security Initiative of Police, Haryana",0
Women's Safety: A Call to Action,1
Hope you\`re having a great day today!,0
"Women safety is an important issue in India, especially when it comes to public transportation. With the increasing number of women who are using public transportation, there is a need for better security measures.",1
New York woman sues Uber for $10 million after driver rapes her,1
"""Women's Safety Program""",1
Women's Safety Alert: Man Arrested for Raping 15-Year-Old Girl in Delhi,1
NGOs Across India Stand with Women Affected by the Citizenship Amendment Act,1
Check out the 5 best affordable cars for women in India:,0
"Jaipur: Two women, including a student, were allegedly molested and harassed by a group of men in separate incidents in the city on Monday, the police said.",1
St Albans City and District Council has announced a consultation on the review of its street naming and numbering policy.,0
Women's Safety in India: A Call to Action,0
"""Uber driver accused of robbing, raping woman in Mumbai,"" read the headline of the story.",1
Canadian police warn of scam targeting women's safety app users,1
Honour Killing: 72-year-old man held after son allegedly kills daughter over money,1
Credit: DNA,1
"The Indian government has announced a new scheme to help women who are victims of domestic violence. Under the scheme, the government will provide financial assistance to women who are forced to leave their homes due to domestic violence.",0
"The government is taking steps to ensure the safety of women in the country. The Union Home Ministry has issued guidelines to all states and Union Territories to ensure the safety of women. The guidelines include setting up of women's helpline centres, providing training to police personnel, and making sure that women are able",1
1. Ease of Use,0
"The Ministry of Education on Tuesday announced the implementation of the ""Regulations on the Supervision of Art Education in Primary and Secondary Schools"" in order to strengthen the supervision of art education in primary and secondary schools, and to establish a complete art education supervision system and mechanism.",0
Female passenger faces harassment from male co-passengers on train in Indore,0
Women's safety: An app that protects you from unwanted calls,0
The House of Commons has approved a bill to end the practice of male guardianship of women in the country.,0
Samsung Galaxy S21 FE is the best affordable phone of 2022,1
"At least 35 people were killed when a train derailed and caught fire in eastern India, officials said on Tuesday, as the death toll rose in one of the country's worst train accidents in recent years.",1
"One of India\s hottest fashion designers, Rajesh Pratap Singh has added yet another feather to his cap by launching a line of high-end luxury men\s underwear.",0
Feminist group launches #Metoo movement in India,1
[**How to Protect Yourself from Domestic Violence**](https://www.theguardian.com/commentisfree/2020/mar/08/domestic-violence-womens-day-2020-protect-yourself),1
"Women's safety during travel has become a major concern in recent years, and the pandemic has only made it worse. With the increase in violent crimes against women, it has become essential for women to take extra precautions while traveling.",1
Top 4 tips to protect your car from thieves!,0
"Women's safety is a pressing issue in India. The country has one of the highest rates of gender violence in the world, with more than 40,000 reported cases of rape in 2019 alone. The government has taken steps to address the problem, but more needs to be",1
"Women safety is a critical issue that needs to be addressed urgently. Recent studies have shown that women are more likely to face violence, harassment, and abuse than men. It is important for society to take steps to ensure that women are safe and secure.",1
Delhi Police has deployed drones to monitor the security situation in the capital. The drones are being used to patrol the city's skies and keep an eye on any suspicious activities.,0
"Mumbai: A 20-year-old man was arrested on Saturday for allegedly raping a 19-year-old woman after offering her a lift from her workplace in New Mumbai, police said.",0
"Apple, Samsung, Google: Big Tech's Women Safety Apps",1
"Dear friends,",0
Redditors Share Their Most Frightening Moment Involving The Police,0
"Renowned Bengali actress Moushumi Chatterjee recently revealed that she lost her 13-month-old daughter, due to a miscarriage, who was a product of an affair. The actor was married to Gautam Chatterjee and had a daughter named Meghna",0
"""Girls with disabilities: A forgotten group in the fight against gender-based violence""",1
"Canada's first female prime minister, Kim Campbell, has died at the age of 79.",1
"Russia has banned the sale and purchase of Nike and Adidas products, along with 36 other brands, from the country.",1
A group of volunteer women gathered at the main Nairobi railway station on Saturday to donate sanitary pads to female passengers.,0
Police said they have arrested seven people in connection with the recent murder of a 19-year-old woman in Kharidaspur.,0
“Women’s Safety App” is a dedicated mobile app that provides real-time alerts and safety information to women in India.,0
The World Health Organization estimates that 38% of women globally have experienced physical or sexual violence at some point in their lives.,1
"Police raid brothel, rescue 19: Govt to rehabilitate rescued women",1
"In recent years, the issue of women's safety has become a major concern in many parts of the world. Women are often subjected to violence and harassment, and the threat of sexual assault is a constant fear for many. In response to this problem, a growing number of apps have been developed to help keep",1
"The 2022 FIFA World Cup, set to take place in Qatar from November 20 to December 18, is shaping up to be a historic event for the tournament.",1
China's Xinhua News Agency reported on the same day that the International Labor Organization (ILO) expressed concern about the shortage of women's workforce in the global digital economy.,0
Police in West Bengal are on high alert on Raksha Bandhan day after a serial killer escaped from the custody of the Kolkata Police.,1
Women's Safety Apps: Stay Safe and Secure on the Go,0
"We are pleased to announce that the ICC Women's T20 World Cup is set to take place in South Africa in 2023. The tournament will see 10 teams battling it out for the title, and we can't wait to see some of the best women's cricket",0
'Recent Poll Reveals Women Are Still Not Safe in India',1
"The government is planning to bring a new bill in the Parliament to further strengthen the laws related to women safety. The bill will include new provisions to make it easier for women to report incidents of violence and harassment, and also to ensure that the accused are punished more severely.",0
Daily Times,0
Today's weather is perfect for a day out at the park or beach. Make sure to pack sunscreen and wear a hat to protect yourself from the sun. Take a break from the daily grind and enjoy some time in nature.,0
